DATE,SP500,AAPL_Close,AAPL_Adj_Close,RF_%
2019/9/1,2982.156,55.9925,55.264339,0.18
2019/10/1,2977.675217,62.189999,61.381241,0.15
2019/11/1,3104.9045,66.8125,65.943619,0.12
2019/12/1,3176.749524,73.412498,72.675339,0.14
2020/1/1,3278.202857,77.377502,76.600517,0.13
2020/2/1,3277.314211,68.339996,67.653778,0.12
2020/3/1,2652.393636,63.572498,63.083504,0.12
2020/4/1,2761.975238,73.449997,72.885025,0
2020/5/1,2919.615,79.485001,78.873604,0.01
2020/6/1,3104.660909,91.199997,90.743469,0.01
2020/7/1,3207.619091,106.260002,105.728088,0.01
2020/8/1,3391.71,129.039993,128.394058,0.01
2020/9/1,3365.516667,115.809998,115.438042,0.01
2020/10/1,3418.701364,108.860001,108.510361,0.01
2020/11/1,3548.9925,119.050003,118.667633,0.01
2020/12/1,3695.31,132.690002,132.49202,0.01
